Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,RecordAlias,Mean,Error,StdDev,Op/s,Rank,Gen0,Gen1,Gen2,Allocated
Traversal,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,8192,True,"2,240.0 μs","1,199.8 μs",65.76 μs,446.42,3,20.8333,0.0000,0.0000,384.11 KB
Traversal,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,8193,True,"2,242.3 μs","1,310.9 μs",71.86 μs,445.97,3,20.8333,0.0000,0.0000,384.16 KB
Traversal,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,8192,False,"2,288.8 μs",540.8 μs,29.64 μs,436.91,3,20.8333,0.0000,0.0000,384.11 KB
Traversal,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,8193,False,"2,308.3 μs",198.4 μs,10.88 μs,433.21,3,20.8333,0.0000,0.0000,384.16 KB
Full,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,8193,False,"3,927.6 μs","4,101.7 μs",224.83 μs,254.61,4,125.0000,93.7500,31.2500,2112.87 KB
Full,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,8193,True,"4,029.4 μs",855.1 μs,46.87 μs,248.18,4,125.0000,93.7500,31.2500,2112.87 KB
Construction,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,8193,True,"4,728.2 μs","5,716.4 μs",313.33 μs,211.50,4,187.5000,156.2500,31.2500,2880.96 KB
Construction,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,8193,False,"4,989.8 μs","8,800.5 μs",482.38 μs,200.41,4,187.5000,156.2500,31.2500,2880.96 KB
Traversal,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,20000,True,"5,661.6 μs","2,569.4 μs",140.84 μs,176.63,4,31.2500,0.0000,0.0000,937.67 KB
Traversal,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,20000,False,"5,748.4 μs","4,027.4 μs",220.76 μs,173.96,4,31.2500,0.0000,0.0000,937.67 KB
Full,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,20000,False,"8,919.1 μs","1,774.5 μs",97.26 μs,112.12,5,312.5000,250.0000,62.5000,5044.22 KB
Full,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,20000,True,"8,942.1 μs","4,882.5 μs",267.63 μs,111.83,5,312.5000,250.0000,62.5000,5044.2 KB
Construction,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,20000,False,"13,002.8 μs","6,583.9 μs",360.89 μs,76.91,6,500.0000,437.5000,125.0000,6919.53 KB
Construction,ShortRun,False,Default,Default,Default,Default,Default,Default,1111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,3,100ms,1,Default,Default,Default,Default,Default,Default,16,1,20000,True,"13,568.2 μs","11,827.6 μs",648.31 μs,73.70,6,500.0000,437.5000,125.0000,6919.53 KB
